Date,Diameter,Length,Fresh weight,Condition
10/4/2022,28.65,33.17,11.63,2
10/4/2022,26.66,30.33,9.02,1
10/4/2022,25.88,30.08,8.67,1
10/4/2022,17.46,26.12,3.87,4
10/4/2022,17.07,23.26,3.45,5
10/4/2022,19.63,25.26,5.05,1
10/4/2022,15.55,18.88,2.26,5
10/4/2022,17.79,22.04,3.34,2
10/4/2022,18.77,23.92,4.35,3
10/4/2022,15.59,18.77,2.4,4
10/4/2022,16.17,18.46,2.85,5
10/7/2022,27.98,29.59,10.35,1
10/7/2022,22.22,28.25,7.58,2
10/7/2022,19.82,20.12,4.09,3
10/7/2022,17.46,25.19,3.35,2
10/7/2022,20.68,16,2.97,3
10/11/2022,17.36,17.18,3.25,3
10/11/2022,22.1,18.43,5.13,3
10/11/2022,19.62,20.87,4.29,1
10/11/2022,19.17,21.89,4.49,2
10/11/2022,16.43,21.77,3.52,4
10/14/2022,25.72,32.66,10.29,1
10/14/2022,23.32,28.08,8.07,1
10/14/2022,22.92,25.64,6.37,3
10/14/2022,25.17,22.14,7.57,4
10/14/2022,20.93,23.08,5.21,2
10/14/2022,19.6,21.83,4.46,1
10/18/2022,27.73,35,10.94,1
10/18/2022,26.43,31.7,9.84,5
10/18/2022,23.47,29.55,6.85,1
10/18/2022,21.86,23.29,5.09,1
10/18/2022,18.2,21.04,3,2
10/18/2022,19.21,21.6,3.46,1
10/18/2022,19.39,16.6,3.11,3
10/21/2022,25.05,27.53,9.31,1
10/21/2022,20.25,28.02,7.07,1
10/21/2022,20.73,28.76,6.71,2
10/21/2022,17.26,20.31,3.87,1
10/21/2022,24.16,21.81,6.06,3
10/21/2022,14.88,16.76,2.28,1
10/21/2022,20.52,25.78,5.6,5
10/21/2022,18.18,17.12,2.95,3
11/1/2022,23.55,33.97,9.75,2
11/1/2022,25.19,33.84,11.22,2
11/1/2022,22.12,23.23,7.18,5
11/1/2022,21.47,27.63,6.18,5
11/1/2022,18.44,20.62,4.31,2
